,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
600,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1200,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1800,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2400,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
3000,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
3600,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
4200,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
4800,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
5400,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
6000,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
6600,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
7200,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
7800,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
8400,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
9000,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
9600,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
10200,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
10800,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
11400,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
12000,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
12600,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
13200,8,8,8,8,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
