,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
600,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
1200,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
1800,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
2400,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
3000,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
3600,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
4200,0.06,0.06,0.06,0.06,0.06,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0
4800,0.07,0.07,0.07,0.07,0.07,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0
5400,0.08,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0
6000,0.09,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0
6600,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
7200,0.11,0.11,0.11,0.11,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0
7800,0.12,0.12,0.12,0.12,0.12,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0
8400,0.13,0.13,0.13,0.13,0.13,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0
9000,0.14,0.14,0.14,0.14,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
9600,0.15,0.15,0.15,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0
10200,0.16,0.16,0.16,0.16,0.16,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0
10800,0.17,0.17,0.17,0.17,0.17,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0
11400,0.18,0.18,0.18,0.18,0.18,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0
12000,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0
12600,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
13200,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0
13800,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0
14400,0.23,0.23,0.23,0.23,0.23,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0
15000,0.24,0.24,0.24,0.24,0.24,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0
15600,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
16200,0.26,0.26,0.26,0.26,0.26,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0
16800,0.27,0.27,0.27,0.27,0.27,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0
17400,0.28,0.28,0.28,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
18000,0.29,0.29,0.29,0.29,0.29,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0
18600,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
19200,0.31,0.31,0.31,0.31,0.31,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0
19800,0.32,0.32,0.32,0.32,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0
20400,0.33,0.33,0.33,0.33,0.33,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0
21000,0.34,0.34,0.34,0.34,0.34,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0
21600,0.35,0.35,0.35,0.35,0.35,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0
22200,0.36,0.36,0.36,0.36,0.36,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0
22800,0.37,0.37,0.37,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
23400,0.38,0.38,0.38,0.38,0.38,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0
24000,0.39,0.39,0.39,0.39,0.39,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0
24600,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
25200,0.41,0.41,0.41,0.41,0.41,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0
25800,0.42,0.42,0.42,0.42,0.42,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0
26400,0.43,0.43,0.43,0.43,0.43,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0
27000,0.44,0.44,0.44,0.44,0.44,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0
27600,0.45,0.45,0.45,0.45,0.45,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0
28200,0.46,0.46,0.46,0.46,0.46,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0
28800,0.47,0.47,0.47,0.47,0.47,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0
29400,0.48,0.48,0.48,0.48,0.48,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0
30000,0.49,0.49,0.49,0.49,0.49,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0
30600,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
31200,0.51,0.51,0.51,0.51,0.51,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0
31800,0.52,0.52,0.52,0.52,0.52,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0
32400,0.53,0.53,0.53,0.53,0.53,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0
33000,0.54,0.54,0.54,0.54,0.54,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0
33600,0.55,0.55,0.55,0.55,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
34200,0.56,0.56,0.56,0.56,0.56,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
34800,0.57,0.57,0.57,0.57,0.57,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
35400,0.58,0.58,0.58,0.58,0.58,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0
36000,0.59,0.59,0.59,0.59,0.59,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0
36600,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0
37200,0.61,0.61,0.61,0.61,0.61,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0
