,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
1200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
1500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
1800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
2100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
2400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
2700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
3000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
3300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
3600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
3900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
4200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
4500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
4800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
5100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
5400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
5700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
6000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
6300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
6600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
6900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
7200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
7500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
7800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
8100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
8400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
8700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
9000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
9300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
9600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
9900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
10200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
10500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
10800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
11100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
11400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
11700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
12000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
12300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
12600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
12900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
13200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
13500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
13800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
14100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
14400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
14700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
15000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
15300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
15600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
15900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
16200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
16500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
16800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
17100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
17400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
17700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
18000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
18300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
18600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
18900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
19200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
19500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
19800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
20100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
20400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
20700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
21000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
21300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
21600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
21900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
22200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
22500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
22800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
23100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
23400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
23700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
24000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
24300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
24600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
24900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
25200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
25500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
25800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
26100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
26400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
26700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
27000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
27300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
27600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
27900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
28200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
28500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
28800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
29100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
29400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
29700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
30000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
30300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
30600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
30900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
31200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
31500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
31800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
32100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
32400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
32700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
33000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
33300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
33600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
33900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
34200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
34500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
34800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
35100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
35400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
35700,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
36000,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
36300,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
36600,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
36900,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
37200,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
37500,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
37800,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
38100,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
38400,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
