,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
600,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
1200,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
1800,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
2400,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
3000,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
3600,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
4200,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
4800,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
5400,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
6000,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
6600,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
7200,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
7800,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
8400,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
9000,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
9600,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
10200,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
10800,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
11400,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
12000,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
12600,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
13200,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
13800,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
14400,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
15000,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
15600,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
16200,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
16800,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
17400,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
18000,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
18600,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
19200,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
19800,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
20400,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
21000,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
21600,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
22200,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
22800,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
23400,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
24000,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
24600,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
25200,24,24,24,24,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
