time,atemp,dtemp,windspd,solrad
0,25,22,3.4,10
600,25,22,2.9,10
1200,25,22,2.7,10
1800,25,22,2.7,10
2400,25,22,2.4,10
3000,25,22,1.9,10
3600,25,22,1.7,10
4200,25,22,1.4,10
4800,25,22,2.2,10
5400,25,22,1.9,10
6000,25,22,1.4,10
6600,25,22,1.2,10
7200,25,22,2.1,10
7800,25,22,0.9,10
8400,25,22,2.1,10
9000,25,22,2.6,10
9600,25,22,1.5,10
10200,25,22,1.7,10
10800,25,22,1.2,10
11400,25,22,0.6,10
12000,25,22,0.7,10
12600,25,22,0.8,10
13200,25,22,0.5,10
13800,25,22,0.3,10
14400,25,22,1.4,10
15000,25,22,0.4,10
15600,25,22,0.7,10
16200,25,22,0.8,10
16800,25,22,0.6,10
17400,25,22,0.4,10
18000,25,22,1.3,10
18600,25,22,1,10
19200,25,22,0.2,10
19800,25,22,0.6,10
20400,25,22,1.4,10
21000,25,22,1.8,10
21600,25,22,3.1,10
22200,25,22,3,10
22800,25,22,4.8,10
23400,25,22,5,10
24000,25,22,3.4,10
24600,25,22,1.9,10
25200,25,22,3.8,10
25800,25,22,1,10
26400,25,22,0.5,10
27000,25,22,1.9,10
27600,25,22,0.6,10
28200,25,22,1.8,10
28800,25,22,0.4,10
29400,25,22,0.7,10
30000,25,22,0.2,10
30600,25,22,0.5,10
31200,25,22,0.2,10
31800,25,22,0.2,10
32400,25,22,1,10
33000,25,22,0.8,10
33600,25,22,0.9,10
34200,25,22,0.6,10
34800,25,22,0.6,10
35400,25,22,2.5,10
36000,25,22,1.9,10
36600,25,22,3.4,10
37200,25,22,4.8,10
37800,25,22,4.5,10
38400,25,22,4.1,10
39000,25,22,3.2,10
39600,25,22,2.3,10
40200,25,22,1.6,10
40800,25,22,1.3,10
41400,25,22,1.9,10
42000,25,22,0.8,10
42600,25,22,0.6,10
43200,25,22,0.5,10
43800,25,22,1.3,10
44400,25,22,0.3,10
45000,25,22,0.4,10
45600,25,22,0.3,10
46200,25,22,0.7,10
46800,25,22,0.2,10
47400,25,22,0.3,10
48000,25,22,2,10
48600,25,22,5.4,10
49200,25,22,4.6,10
49800,25,22,5.1,10
50400,25,22,4.2,10
51000,25,22,3.6,10
51600,25,22,4.1,10
52200,25,22,2.8,10
52800,25,22,2.5,10
53400,25,22,1.9,10
54000,25,22,0.9,10
54600,25,22,1.9,10
55200,25,22,1.9,10
55800,25,22,0.7,10
56400,25,22,1.8,10
57000,25,22,0.8,10
57600,25,22,0.5,10
58200,25,22,1,10
58800,25,22,1.4,10
59400,25,22,1.8,10
60000,25,22,0.2,10
60600,25,22,1.3,10
61200,25,22,1,10
61800,25,22,1.2,10
62400,25,22,0.5,10
63000,25,22,0.5,10
63600,25,22,0.6,10
64200,25,22,1,10
64800,25,22,1,10
65400,25,22,0.5,10
66000,25,22,0.7,10
66600,25,22,0.2,10
