,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,0.505,0.338,0.589,0.226,0.648,0.233,0.095,0.802,0.144,0.221,0.738,0,0,0,0,0,0,0,0
1,,1,0.232,0.07,0.852,0.964,0.361,0.832,0.472,0.824,0.481,0.28,0.407,0,0,0,0,0,0,0
2,,,1,0.58,0.112,0.276,0.623,0.347,0.304,0.254,0.813,0.563,0.17,0.461,0,0,0,0,0,0
3,,,,1,0.177,0.686,0.647,0.338,0.601,0.447,0.129,0.788,0.171,0.656,0.955,0,0,0,0,0
4,,,,,1,0.52,0.096,0.838,0.22,0.247,0.413,0.277,0.005,0.747,0.443,0.143,0,0,0,0
5,,,,,,1,0.584,0.116,0.758,0.509,0.281,0.035,0.079,0.434,0.871,0.893,0.988,0,0,0
6,,,,,,,1,0.709,0.345,0.196,0.147,0.962,0.113,0.171,0.006,0.036,0.376,0.841,0,0
7,,,,,,,,1,0.211,0.767,0.372,0.531,0.128,0.411,0.432,0.522,0.894,0.493,0.236,0
8,,,,,,,,,1,0.61,0.602,0.241,0.499,0.409,0.002,0.904,0.315,0.112,0.669,0.688
9,,,,,,,,,,1,0.369,0.043,0.721,0.223,0.499,0.842,0.553,0.834,0.726,0.196
10,,,,,,,,,,,1,0.76,0.207,0.997,0.629,0.693,0.385,0.354,0.953,0.417
11,,,,,,,,,,,,1,0.261,0.024,0.48,0.855,0.833,0.887,0.996,0.342
12,,,,,,,,,,,,,1,0.876,0.806,0.446,0.797,0.143,0.451,0.775
13,,,,,,,,,,,,,,1,0.922,0.579,0.724,0.372,0.043,0.633
14,,,,,,,,,,,,,,,1,0.585,0.366,0.53,0.199,0.642
15,,,,,,,,,,,,,,,,1,0.979,0.662,0.285,0.525
16,,,,,,,,,,,,,,,,,1,0.029,0.587,0.62
17,,,,,,,,,,,,,,,,,,1,0.536,0.866
18,,,,,,,,,,,,,,,,,,,1,0.126
19,,,,,,,,,,,,,,,,,,,,1
